SEQN,RIAGENDR,RIDAGEYR,DMDMARTZ,RIDEXPRG,WTINTPRP,WTMECPRP,INDFMPIR
109553,2,9,,,4108.229708,4184.510866,0.18
109554,1,21,3,,32817.1155,35137.42034,0.96
109555,2,22,1,2,6534.597808,6827.813092,2.4
109556,2,15,,,20337.56164,21520.09694,5
109557,1,17,,,5528.213535,5814.255847,0.2
109558,1,57,1,,51010.86099,56402.61349,4.64
109559,2,2,,,7221.953482,8506.190419,1.11
109560,1,34,1,,40465.31294,41558.6393,
109561,2,30,1,3,20441.25812,0,3.95
109562,2,80,2,,43355.37949,52057.28065,2.88
109563,2,36,1,2,55583.14464,59380.123,3.04
109564,1,19,,,18454.25931,20135.32957,0.5
109565,1,80,2,,7251.532316,8453.867824,0.91
109566,1,11,,,7508.23644,7913.888153,0.8
109567,1,49,1,,23608.16272,25353.66923,5
109568,2,32,1,2,16794.34837,17625.67753,0.9
109569,1,7,,,31880.65915,35936.8487,3.56
109570,2,78,2,,42437.65612,45049.85833,2.6
109571,2,28,3,2,5646.402665,6098.607785,0.66
109572,2,12,,,17734.98611,18163.55294,0.83
109573,2,1,,,3642.694821,4206.522561,0.11
109574,2,55,1,,12235.52073,13420.40896,5
109575,2,5,,,11953.18975,13371.868,3.52
109576,2,11,,,8779.786076,9638.158577,1.42
109577,2,74,2,,9035.631003,9930.334815,
109578,1,80,1,,20434.995,0,
109579,2,42,1,2,19439.68064,19090.23617,1.06
109580,2,39,1,2,20741.15709,22255.92235,2.22
109581,1,43,1,,25842.44192,27429.99817,1.02
109582,1,14,,,37142.24977,39769.68347,5
109583,2,2,,,8285.177578,9327.76853,
109584,1,9,,,12907.01166,13764.59049,1.49
109585,1,20,3,,12930.51403,13885.39232,3.4
109586,1,0,,,6413.43147,0,1.33
109587,2,74,1,,19087.13223,23444.07588,5
109588,1,71,1,,10169.79152,10349.8719,3.65
109589,2,13,,,10001.25205,10455.92666,2.2
109590,1,37,3,,10590.80232,11236.0985,
109591,1,68,1,,5058.534693,5354.862547,0.49
109592,2,62,1,,8594.702532,9460.099293,
109593,1,52,1,,37130.74632,39073.24594,0.58
109594,1,79,1,,7997.991351,8155.079431,1.23
109595,2,5,,,17629.16252,19916.57756,2.59
109596,1,4,,,2836.727855,3131.915981,1.18
109597,2,70,1,,19749.78588,20793.20343,3.68
109598,1,25,3,,32594.83824,38223.64543,4
109599,2,5,,,52355.77387,58654.37494,5
109600,2,66,1,,5926.117182,0,5
109601,1,30,3,,74296.83809,83619.59253,
109602,2,43,3,2,10702.30983,10969.10215,
109603,2,2,,,15247.44951,0,4.81
109604,1,10,,,22611.40536,23338.68918,4.78
109605,2,0,,,2503.827644,2588.001359,0.85
109606,2,32,3,2,11166.23367,11591.37149,1.18
109607,1,63,1,,7022.193287,7670.323183,1.94
109608,2,54,1,,40475.82511,43166.43326,5
109609,2,6,,,8218.123232,8999.680799,3.31
109610,1,78,2,,4966.800256,5051.196599,
109611,1,55,3,,8101.507215,8497.515303,0
109612,1,75,2,,4219.124104,4280.287645,
109613,1,16,,,19262.25913,19900.52221,1.02
109614,1,80,1,,6294.570297,7299.119678,3.48
109615,2,65,3,,7743.434621,8203.069772,5
109616,1,8,,,10909.25912,11801.01431,5
109617,1,64,1,,9226.958794,9885.25786,
109618,2,4,,,4744.828907,5865.731376,5
109619,1,0,,,2384.02065,2613.641895,1.37
109620,2,59,2,,17116.41848,18138.48109,1.59
109621,1,11,,,18096.82355,0,5
109622,1,10,,,8086.687854,0,3.44
109623,2,31,1,2,9865.767406,10427.20398,5
109624,2,8,,,12459.43536,14125.90636,1.22
109625,1,10,,,8336.176265,10276.3145,1.73
109626,1,61,1,,7778.959836,8047.428172,1.18
109627,2,8,,,16035.54395,0,0.54
109628,2,39,2,2,11305.42985,12026.45437,0.7
109629,1,40,3,,8855.93998,9557.272239,1.51
109630,2,56,2,,241097.4947,243396.7631,2.16
109631,1,79,1,,39640.84018,0,3.55
109632,1,17,,,20342.68785,22092.89093,1.81
109633,2,4,,,6721.447505,7624.958082,3.88
109634,2,62,1,,11721.93999,12236.16419,0.73
109635,2,40,1,2,17534.85529,17718.45894,
109636,2,4,,,17720.28024,19014.34936,0.71
109637,2,46,1,,26217.3058,29708.58925,3.08
109638,2,48,1,,100202.203,116101.6328,3.03
109639,2,42,1,2,24934.67923,26943.80474,
109640,2,50,1,,14466.30409,15825.01629,4.62
109641,1,14,,,5248.39265,6067.804617,2.23
109642,1,8,,,1664.0254,1900.736211,0.4
109643,2,80,2,,29216.72768,43103.19961,1.36
109644,1,24,1,,20603.73374,22560.70826,0.16
109645,2,62,2,,13838.3691,15422.48836,0.68
109646,1,8,,,4672.257188,5198.68182,1.58
109647,2,0,,,12239.0216,14015.98474,1.54
109648,2,1,,,2141.213716,2142.455649,0.8
109649,1,80,1,,7788.988678,9993.622667,4.16
109650,1,23,2,,42107.65032,0,1.64
109651,2,0,,,2561.390487,2828.076882,0.87
109652,2,76,2,,20837.58428,22270.98392,0.84
109653,2,80,2,,21550.94018,23767.01535,3.2
109654,1,18,,,10028.59268,10547.49482,
109655,2,42,1,2,14354.77052,14700.04456,
109656,2,60,1,,4575.738564,4857.666209,4.25
109657,2,33,1,2,56375.29842,55876.6618,5
109658,1,10,,,8696.440448,9397.389311,1.59
109659,2,4,,,14238.32792,15994.15725,1.14
109660,2,2,,,5821.625386,7160.385261,4.66
109661,1,23,1,,39700.2403,46057.63231,3.37
109662,1,32,3,,22875.52973,24702.79838,
109663,2,10,,,8983.843281,0,5
109664,1,22,3,,11843.42668,12813.75061,3.25
109665,2,42,1,2,87509.7376,106470.7401,2.66
109666,2,70,3,,9516.224411,10591.37066,0.83
109667,1,64,1,,5393.904869,5671.225062,2.96
109668,2,14,,,7665.212765,0,0.98
109669,1,59,3,,19996.28122,21327.30868,0.96
109670,2,0,,,7299.700362,7464.695366,0.81
109671,1,5,,,38076.25356,43026.25513,3.98
109672,1,2,,,35197.57066,42468.59089,5
109673,1,34,2,,19188.44415,20958.7827,
109674,2,4,,,4365.328958,4477.98386,0.5
109675,2,51,1,,13742.98888,15033.76547,5
109676,2,64,1,,11606.14722,11652.15769,2.57
109677,2,76,2,,17403.34953,18746.69844,4.06
109678,2,32,3,2,44915.24416,45697.43562,1
109679,1,28,3,,11895.39784,13681.80012,0.49
109680,2,0,,,4711.020986,5201.522223,4.55
109681,2,10,,,11864.99978,12481.43772,
109682,1,17,,,20295.56835,22219.92384,1.47
109683,2,29,1,2,45735.00715,48533.63835,0.81
109684,1,9,,,9298.292262,9800.656329,1.22
109685,1,38,1,,15768.64629,16211.61,3.86
109686,1,60,1,,10392.50602,11319.46109,0.7
109687,2,37,1,2,5545.332627,5731.921252,3.21
109688,2,4,,,21010.17362,24724.09739,5
109689,2,14,,,8802.151185,9396.918833,1.17
109690,1,3,,,10890.12861,12909.91967,4.17
109691,2,26,1,2,10800.15594,11504.78849,2.86
109692,2,16,,,12520.7379,14300.46973,4.81
109693,2,25,1,2,22272.33651,23693.12409,1
109694,1,9,,,19869.86347,0,5
109695,1,3,,,8144.065096,9179.571121,4.08
109696,2,79,1,,43535.91731,45835.99997,
109697,2,35,3,2,11036.0002,11362.92469,1.7
109698,2,16,,,18203.7922,19354.54319,1.81
109699,2,3,,,5445.408967,5919.40059,0.51
109700,2,42,1,2,22503.3613,21505.17839,2.65
109701,2,13,,,21694.32679,0,5
109702,2,15,,,11188.26004,11954.97888,4.27
109703,1,34,1,,13651.23404,14513.12173,2.53
109704,1,31,1,,9539.341156,10529.93001,3.55
109705,1,38,3,,25203.09197,27235.58711,0.73
109706,1,12,,,15583.25005,16099.60762,1.49
109707,2,15,,,4561.950366,5264.52126,0.83
109708,1,1,,,3478.792874,3553.807411,0.64
109709,1,52,2,,12903.06481,12929.59352,5
109710,1,12,,,10619.42502,11551.83573,1.83
109711,1,25,1,,16079.91204,17606.16867,1.22
109712,1,46,1,,9162.042557,10053.08634,
109713,2,50,1,,4559.336047,4452.282641,3.75
109714,1,30,1,,16966.19057,19161.32924,5
109715,1,9,,,7467.21248,8104.221125,0
109716,2,25,3,2,7271.446711,7998.808582,0.26
109717,1,7,,,2291.106851,2374.684626,0.8
109718,2,7,,,11311.25895,13375.08925,2.73
109719,2,3,,,20862.72445,23548.56476,5
109720,2,4,,,21163.21106,25068.0188,0.04
109721,1,50,3,,8099.572343,8938.797024,
109722,2,7,,,4559.052741,0,
109723,1,29,1,,20133.45034,21975.27238,2.74
109724,2,4,,,10608.84896,11985.93449,0.25
109725,2,62,1,,6934.920473,7640.045399,
109726,1,20,3,,15478.33835,16968.5527,4.61
109727,2,42,3,2,16880.18883,17328.70157,
109728,2,34,2,2,13501.47356,14943.40546,0.89
109729,2,15,,,15138.94613,16419.35486,1.98
109730,2,29,3,2,9682.671931,10467.51723,0.61
109731,2,21,3,2,30438.7821,33934.25976,0.41
109732,2,9,,,23026.25096,0,5
109733,1,7,,,2368.300106,2824.935898,2.14
109734,1,3,,,3924.259702,4252.0107,1.54
109735,1,33,1,,6228.363044,6698.718133,1.41
109736,1,0,,,3176.740663,3681.421631,
109737,1,2,,,28358.82109,33144.09986,2.56
109738,2,2,,,4328.766684,4687.346662,
109739,1,80,2,,6704.788215,7991.127474,1.81
109740,1,46,2,,7086.099079,7666.672073,1.2
109741,2,6,,,2136.12194,2254.507131,1.43
109742,1,80,2,,14062.71936,17577.35699,3.69
109743,1,56,1,,20040.94338,20584.54302,3.18
109744,1,8,,,3427.133058,4114.801149,1.05
109745,1,7,,,4221.00965,4478.462713,1.13
109746,1,47,1,,3713.770492,3845.124427,3.69
109747,2,74,2,,66450.48301,77818.81743,2.07
109748,1,11,,,34077.13917,36587.85492,0.1
109749,2,6,,,4253.018844,4488.723762,0.86
109750,1,16,,,19307.68898,19218.52198,1.67
109751,2,10,,,36861.32744,41923.01022,5
109752,1,14,,,9888.450405,10596.73747,1.24
109753,2,3,,,4136.01184,4670.853933,0.59
109754,2,47,1,,32514.87067,37283.29571,2.16
109755,1,23,3,,13021.51956,0,1.33
109756,1,72,1,,4052.767276,0,
109757,2,30,1,1,12412.21419,13029.28704,3.92
109758,1,26,1,,10393.68765,11072.91654,
109759,1,57,1,,12498.03074,0,5
109760,1,53,1,,18287.26886,19223.70585,4.62
109761,2,19,,,21908.7022,22754.03158,5
109762,1,9,,,27008.33895,30396.62661,5
109763,1,78,1,,4543.742293,4693.084754,0.88
109764,1,69,2,,10851.45393,11888.24779,2.28
109765,2,51,2,,21546.11797,24203.21404,0.8
109766,2,9,,,4102.899872,4314.157026,0.52
109767,1,61,1,,16221.31088,0,
109768,1,32,2,,64626.24979,70482.85874,5
109769,1,44,2,,11299.20871,11865.54296,0.94
109770,2,47,1,,21917.09373,22661.76072,5
109771,2,79,1,,17931.2796,19650.41136,4.56
109772,2,11,,,4562.872772,4820.356432,0.31
109773,2,16,,,7621.027832,7769.468801,1.07
109774,2,80,1,,36636.6536,44313.76586,1.71
109775,1,2,,,7165.39166,8209.238271,0.25
109776,2,80,2,,15527.55694,17430.22467,1.09
109777,2,13,,,6102.461176,6619.615003,1.58
109778,2,12,,,6875.945265,7294.123207,5
109779,2,6,,,15933.72585,17001.31012,0.79
109780,2,66,1,,4291.533323,4539.318882,1.08
109781,2,16,,,13355.45376,15253.83438,1.7
109782,2,63,1,,133430.5487,135472.6962,3.69
109783,1,61,3,,6111.118031,6355.483608,0.58
109784,1,4,,,10441.44524,11749.42338,5
109785,1,48,2,,8573.013539,9269.126561,
109786,2,24,1,3,31387.12656,0,0.96
109787,1,5,,,29458.13923,32053.50222,2.64
109788,1,3,,,9697.101944,10757.16896,2.07
109789,2,32,1,2,99400.85043,99389.09768,5
109790,2,7,,,24152.10609,0,2.64
109791,1,28,3,,11855.86901,12630.65166,2.83
109792,1,6,,,5407.116887,5994.656904,4.31
109793,2,80,2,,13733.79597,16875.55972,5
109794,1,63,1,,59682.82554,61023.07092,2.59
109795,1,13,,,51182.67329,55639.83923,5
109796,2,44,2,3,5658.205774,0,0.89
109797,1,9,,,5560.518359,5957.617489,0.06
109798,2,10,,,18457.64131,19861.55452,0.06
109799,2,3,,,19330.56946,21929.02373,0.36
109800,1,31,3,,14999.4712,16638.74104,4.31
109801,1,6,,,5200.062264,5902.925881,
109802,1,25,1,,18463.58725,20559.78279,0.81
109803,2,56,2,,13660.27468,15227.60795,0.8
109804,2,16,,,36625.36768,37305.26791,0.1
109805,2,43,1,2,21454.87528,22922.76485,2.92
109806,2,25,3,2,24489.43674,26762.28921,2.56
109807,1,31,1,,150347.1852,167376.122,5
109808,1,3,,,30129.48086,33700.89872,4.17
109809,2,20,3,2,72753.12342,78041.08698,5
109810,2,16,,,57918.77083,63133.46461,3.98
109811,1,52,1,,12061.59157,13450.94477,3.73
109812,2,72,1,,7614.851472,8564.919715,4.85
109813,1,32,3,,43227.10159,46797.79073,2.49
109814,2,29,1,2,9390.066001,10599.28223,0.35
109815,2,52,1,,10156.76699,10483.11199,5
109816,2,55,2,,70993.82947,71981.05794,2.59
109817,2,36,1,2,15662.24455,16538.70071,5
109818,2,5,,,10168.83288,0,1.01
109819,2,1,,,6721.625728,8077.508319,0.56
109820,2,29,1,2,21439.68496,23443.53258,0.93
109821,1,19,,,8594.294386,9357.273263,2.65
109822,2,16,,,11368.27275,11988.34332,5
109823,2,80,2,,6101.213696,6659.065605,4.77
